"FirstName","LastName","Date Hired"
"Mahmut","Aamodt","1986-04-10"
"Danco","Aamodt","1986-10-10"
"Fatemeh","Aamodt","1986-05-07"
"Jaideep","Aamodt","1986-07-16"
"Qingxiang","Aamodt","1986-03-05"
"Maik","Aamodt","1986-06-20"
"Foong","Aamodt","1986-06-28"
"Kazuhito","Aamodt","1986-12-02"
"Arvind","Aamodt","1986-11-20"
"Rajmohan","Aamodt","1986-05-22"
"Theron","Aamodt","1986-03-16"
"Salvador","Aamodt","1986-03-16"
"Parke","Aamodt","1986-11-04"
"Huican","Aamodt","1986-12-12"
"Luise","Aamodt","1986-07-27"
"Somnath","Aamodt","1986-01-15"
"Menkae","Aamodt","1986-02-07"
"Basant","Aamodt","1986-12-25"
"Moto","Aamodt","1986-05-29"
"Shmuel","Aamodt","1986-05-27"
"Valeri","Aamodt","1986-07-28"
"Marek","Aamodt","1986-01-31"
"Dietrich","Aamodt","1986-12-07"
"Elzbieta","Aamodt","1986-04-29"
"Arumugam","Aamodt","1986-01-09"
"Bezalel","Acton","1986-05-21"
"Van","Acton","1986-08-06"
"Piyawadee","Acton","1986-01-13"
"Pragnesh","Acton","1986-11-04"
"Janalee","Acton","1986-12-28"
"Oldrich","Acton","1986-01-14"
"Honesty","Acton","1986-12-22"
"Shaz","Acton","1986-10-27"
"Behnaam","Acton","1986-01-16"
"Hidde","Acton","1986-08-10"
"Huiqun","Acton","1986-07-25"
"Xiahua","Acton","1986-07-07"
"Katsuyuki","Acton","1986-12-25"
"Margo","Acton","1986-07-25"
"Tremaine","Acton","1986-06-06"
"Mayuko","Acton","1986-12-01"
"Jixiang","Acton","1986-04-24"
"Hairong","Acton","1986-05-15"
"Kensei","Acton","1986-05-20"
"Kwee","Acton","1986-07-03"
"Shaz","Acton","1986-08-10"
"Ulises","Acton","1986-01-14"
"Volkmar","Acton","1986-10-17"
"Rance","Acton","1986-12-21"
"Breannda","Adachi","1986-04-29"
"Kenroku","Adachi","1986-06-18"
"Yannik","Adachi","1986-01-10"
"Zhaofang","Adachi","1986-11-09"
"Serif","Adachi","1986-02-17"
"Marlo","Adachi","1986-05-24"
"Masoud","Adachi","1986-08-05"
"Kerhong","Adachi","1986-02-20"
"Changho","Adachi","1986-09-09"
"Zhenhua","Adachi","1986-07-01"
"Houman","Adachi","1986-05-04"
